Sexo,Años cumplidos,Estatura,Peso,Carrera,Semestre,Consumo de verduras en el desayuno/comida/cena,Actividad fisica en la semana,Obstaculos para realizar ejercicio,Lugares con comida balanceada
Mujer,22,188,75,Ingeniería en Mecatronica,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,182,76,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,23,179,83,Ingeniería industrial,Séptimo semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,191,72,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,Ningún día,Falta de motivación,Si
Mujer,23,169,64,Ingeniería industrial,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,195,60,Ingeniería industrial,Primer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,158,73,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,194,58,Ingeniería en Electrónica,Primer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,24,184,71,Ingeniería industrial,Primer semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,172,55,Ingeniería en Electrónica,Noveno semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,24,174,57,Ingeniería en Diseño,Tercer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,159,64,Ingeniería en Mecatronica,Tercer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,20,179,60,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,21,194,71,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,Todos los días,Falta de motivación,Si
Hombre,24,168,65,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,181,72,Ingeniería en Electrónica,Tercer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,188,57,Ingeniería en Electrónica,Séptimo semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,175,62,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,191,75,Ingeniería industrial,Séptimo semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,23,183,84,Ingeniería industrial,Noveno semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,22,174,63,Ingeniería industrial,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,19,193,57,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,172,81,Ingeniería en Diseño,Primer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,24,156,80,Ingeniería en Diseño,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,22,177,64,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,21,151,68,Ingeniería en Mecanica Automotriz,Tercer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,187,58,Ingeniería industrial,Primer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,159,61,Ingeniería en Mecatronica,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,167,67,Ingeniería industrial,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,23,166,75,Ingeniería en Diseño,Primer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,23,164,85,Ingeniería en Mecatronica,Noveno semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,23,150,83,Ingeniería en Diseño,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,181,61,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,21,152,73,Ingeniería en Diseño,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,150,58,Ingeniería en Electrónica,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,187,62,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,180,66,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,22,155,55,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,173,62,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,21,159,65,Ingeniería en Mecatronica,Quinto semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,21,193,70,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,19,165,69,Ingeniería en Diseño,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,23,170,68,Ingeniería en Electrónica,Séptimo semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,21,189,71,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,151,81,Ingeniería en Electrónica,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,183,81,Ingeniería industrial,Noveno semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,191,67,Ingeniería en Electrónica,Quinto semestre,1 vez,1 vez,Falta de motivación,No
Mujer,21,181,75,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,187,61,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,165,55,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,20,152,61,Ingeniería industrial,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,23,163,73,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,21,194,58,Ingeniería en Diseño,Noveno semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,152,68,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,19,164,74,Ingeniería en Electrónica,Primer semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,20,181,57,Ingeniería en Mecanica Automotriz,Tercer semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,159,57,Ingeniería industrial,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,24,188,56,Ingeniería en Diseño,Tercer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,21,179,65,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,162,65,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,154,67,Ingeniería en Diseño,Noveno semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,179,83,Ingeniería en Electrónica,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,167,70,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,165,61,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,191,82,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,Falta de motivación,No
Hombre,21,152,75,Ingeniería industrial,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,20,190,64,Ingeniería en Diseño,Séptimo semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,20,190,85,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,186,75,Ingeniería industrial,Tercer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,20,178,62,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,198,66,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,23,184,59,Ingeniería en Diseño,Noveno semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,19,158,84,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,166,77,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,24,167,57,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,172,61,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,21,196,78,Ingeniería en Diseño,Quinto semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,173,75,Ingeniería industrial,Noveno semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,23,165,61,Ingeniería en Diseño,Noveno semestre,2-3 veces,Todos los días,Falta de motivación,Si
Mujer,24,158,75,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,20,159,63,Ingeniería en Diseño,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,166,79,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,177,74,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,195,64,Ingeniería en Mecatronica,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,156,68,Ingeniería en Diseño,Primer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,24,178,85,Ingeniería industrial,Noveno semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,185,71,Ingeniería en Electrónica,Primer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,20,196,84,Ingeniería industrial,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,158,83,Ingeniería industrial,Séptimo semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,22,180,85,Ingeniería en Mecatronica,Tercer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,173,68,Ingeniería industrial,Noveno semestre,2-3 veces,Todos los días,Falta de motivación,No
Hombre,22,189,73,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,22,173,72,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,22,178,55,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,198,82,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,21,168,66,Ingeniería en Mecatronica,Tercer semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,24,176,66,Ingeniería en Electrónica,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,181,69,Ingeniería en Diseño,Séptimo semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,179,68,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,Todos los días,Falta de motivación,No
Hombre,24,154,65,Ingeniería en Electrónica,Noveno semestre,1 vez,Todos los días,Falta de motivación,No
Hombre,24,188,77,Ingeniería industrial,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,21,186,56,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,196,72,Ingeniería industrial,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,194,81,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,177,85,Ingeniería en Diseño,Quinto semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,19,165,68,Ingeniería industrial,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,20,151,63,Ingeniería industrial,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,197,63,Ingeniería en Diseño,Quinto semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Mujer,23,188,79,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,169,59,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,171,68,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,21,195,67,Ingeniería en Mecatronica,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Hombre,20,198,60,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,20,174,66,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,185,83,Ingeniería en Diseño,Noveno semestre,1 vez,2-3 veces,Falta de motivación,Si
Hombre,19,173,78,Ingeniería industrial,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,173,58,Ingeniería industrial,Primer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,171,81,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,22,177,58,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,21,157,73,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,19,167,69,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,198,70,Ingeniería en Mecatronica,Noveno semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,181,63,Ingeniería en Mecatronica,Tercer semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,23,160,59,Ingeniería industrial,Primer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,164,83,Ingeniería en Mecatronica,Séptimo semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,24,167,57,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,21,189,58,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,24,150,75,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,183,71,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,181,61,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,20,174,77,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Ningún día,Falta de motivación,Si
Hombre,22,159,77,Ingeniería en Mecatronica,Primer semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,152,70,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,184,82,Ingeniería en Mecatronica,Quinto semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,159,69,Ingeniería en Electrónica,Tercer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,163,59,Ingeniería en Mecatronica,Tercer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,194,79,Ingeniería en Electrónica,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,21,193,70,Ingeniería en Mecatronica,Quinto semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,19,168,61,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,196,77,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,24,191,67,Ingeniería en Diseño,Noveno semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,22,153,57,Ingeniería industrial,Séptimo semestre,2-3 veces,2-3 veces,Falta de motivación,No
Mujer,21,192,76,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,190,83,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,19,167,76,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,21,178,55,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,20,182,68,Ingeniería en Diseño,Primer semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,198,74,Ingeniería industrial,Quinto semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,184,56,Ingeniería en Diseño,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,171,79,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,23,167,57,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,168,58,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,20,185,73,Ingeniería en Mecatronica,Primer semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,23,161,72,Ingeniería en Mecatronica,Noveno semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,24,161,74,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,180,63,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,19,162,85,Ingeniería en Diseño,Primer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,22,189,75,Ingeniería en Diseño,Noveno semestre,1 vez,1 vez,Falta de motivación,No
Mujer,21,191,66,Ingeniería en Electrónica,Tercer semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,23,187,64,Ingeniería en Electrónica,Séptimo semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,21,183,67,Ingeniería industrial,Noveno semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,22,189,64,Ingeniería industrial,Noveno semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,21,161,69,Ingeniería en Mecatronica,Quinto semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,181,69,Ingeniería en Mecatronica,Primer semestre,1 vez,1 vez,Falta de motivación,Si
Mujer,22,197,56,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,1 vez,Falta de motivación,Si
Mujer,19,183,62,Ingeniería en Diseño,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,24,195,79,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,21,171,72,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,20,158,65,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,21,180,81,Ingeniería industrial,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,167,62,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,20,197,75,Ingeniería en Electrónica,Quinto semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,189,58,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,165,70,Ingeniería en Electrónica,Quinto semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,182,62,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,155,85,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,2-3 veces,Falta de motivación,Si
Hombre,19,178,74,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,21,166,85,Ingeniería en Electrónica,Primer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,19,175,82,Ingeniería en Mecatronica,Primer semestre,1 vez,Ningún día,Falta de motivación,Si
Hombre,20,195,68,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,Todos los días,Falta de motivación,Si
Mujer,22,195,57,Ingeniería industrial,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,150,84,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,24,163,79,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,157,67,Ingeniería en Diseño,Tercer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,19,184,56,Ingeniería industrial,Quinto semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,186,71,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Ningún día,Falta de motivación,Si
Hombre,20,196,69,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,21,171,72,Ingeniería en Electrónica,Quinto semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,24,166,65,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,165,74,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Ningún día,Falta de motivación,Si
Hombre,23,158,67,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,21,161,59,Ingeniería en Diseño,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,158,64,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,198,58,Ingeniería en Diseño,Séptimo semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,23,168,85,Ingeniería en Diseño,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,153,83,Ingeniería en Diseño,Primer semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,157,75,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
